VBD Title,Scenario Title,Module Id,Module Title,Suggested Order,Module Type,Module first release date,Module last modified
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-001,FinOps - Introduction,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-002,Azure Cost Management - Tool Chain overview,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-003,Azure Billing - Overview and Resources,100,optional,2023-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-004,Azure Billing - Overview for Enterprise Agreement (EA) ,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-004,Azure Billing - Overview for Enterprise Agreement (EA) ,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-005,Azure Billing - Overview for Microsoft Customer Agreement (MCA),100,optional,2025-01-01,2026-02-19
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-006,Azure Billing - Invoice Management,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-007,Azure Billing - Understand Azure Pricing,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-008,Azure Billing - Managing Market Place offerings,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-009,Azure Billing - Subscription Management for Cost Management,100,optional,2024-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-010,Azure Billing - EA to MCA transition Guidance,100,optional,2025-01-01,2026-02-24
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-011,Azure Cost Management – Azure Cost details data deep dive,100,optional,2025-01-01,2026-02-19
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-012,FinOps - FinOps Open Cost and Usage Specification (FOCUS) & Reporting fundamentals,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-013,Azure Cost Management - Understanding Azure Cost Management scopes & roles (EA),100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-014,Azure Cost Management - Understanding Azure Cost Management scopes & roles (MCA),100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-015,Azure Cost Management -  Alerting,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-016,Azure Cost Management - Managing Budgets & Alerts,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-017,Azure Cost Management - Manage Cost Tagging,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-018,Azure Cost Management – Cost Allocation Rules introduction,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-019,Azure Cost Optimization - Workload - AKS,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-020,Azure Cost Management - Cross Cloud Management,100,optional,2025-06-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-021,Azure Cost optimization - Overview,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-023,Azure Cost Optimization - Using Advisor and Operations Center to optimize cost,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-024,Azure Cost Optimization - Waste reduction,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-025,Azure Cost Optimization - Rate optimization with Reserved instances,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-026,Azure Cost Optimization - Rate optimization with Savings Plans,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-027,Azure Cost Optimization - Rate optimization with Hybrid benefits,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-028,FinOps - Generic FinOps for AI,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-029,Azure Cost Optimization - Optimizing Azure AI Services,100,optional,2026-01-28,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-030,Azure Cost Optimization – Rate optimization with pre-purchased Commitments,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-031,Azure Cost Optimization – Workload – Azure Spot VMs,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-032,Azure Cost Optimization - Rate optimization with Microsoft Azure Consumption Commitment (MACC),100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-033,Azure Cost Optimization - Dev/Test Labs,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-034,FinOps - Introduction to FinOps KPI and Benchmarking,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-035,FinOps - alignment with technical Product- and Service Teams,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-036,FinOps - Forecasting,100,optional,2026-01-26,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-037,FinOps - Personas & team topologies,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-038,FinOps - High-level implementation approach,100,optional,2024-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-039,FinOps - Operationalize FinOps through roles & tasks,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-052,Solution Optimization - FinOpsProduct - Generic - Scoping,100,mandatory,2026-02-08,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-055,FinOps - Architecting for Cloud on Azure,100,optional,2026-02-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-056,Azure Cost Management - Reporting & Analysis,100,optional,2026-02-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-057,Azure Cost Optimization - Workload - Log Analytics,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-058,Azure Cost Optimization - Workload - Virtual Machines,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-059,Azure Cost Optimization - Workload - Storage,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-060,Azure Cost Optimization - Workload - Networking,100,optional,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-044,Solution Optimization - FinOpsProduct - Generic - Kickoff,200,mandatory,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,"FinOps Enablement and Cost Optimization (1, 2, or 4 days)",M-045,Solution Optimization - FinOpsProduct - Generic - Closeout,9000,mandatory,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,Operationalize FinOps Teams through Roles & Tasks,M-048,Solution Optimization - FinOps - Optimize Roles - Scoping,100,mandatory,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,Operationalize FinOps Teams through Roles & Tasks,M-049,Solution Optimization - FinOps - Optimize Roles - Kickoff,200,mandatory,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,Operationalize FinOps Teams through Roles & Tasks,M-037,FinOps - Personas & team topologies,300,mandatory,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,Operationalize FinOps Teams through Roles & Tasks,M-038,FinOps - High-level implementation approach,400,mandatory,2024-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,Operationalize FinOps Teams through Roles & Tasks,M-039,FinOps - Operationalize FinOps through roles & tasks,500,mandatory,2025-01-01,2026-02-14
Solution Optimization for Azure Cost and FinOps,Operationalize FinOps Teams through Roles & Tasks,M-054,Solution Optimization - FinOps - Optimize Roles - Closeout,900,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-040,Workshop Azure Cost Optimization - Enabling FinOps Teams - Scoping,10,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-042,Workshop Azure Cost Optimization - Enabling FinOps Team - Kickoff,20,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-001,FinOps - Introduction,30,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-002,Azure Cost Management - Tool Chain overview,40,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-003,Azure Billing - Overview and Resources,50,recommended,2023-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-004,Azure Billing - Overview for Enterprise Agreement (EA) ,60,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-005,Azure Billing - Overview for Microsoft Customer Agreement (MCA),70,recommended,2025-01-01,2026-02-19
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-006,Azure Billing - Invoice Management,80,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-007,Azure Billing - Understand Azure Pricing,90,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-008,Azure Billing - Managing Market Place offerings,100,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-009,Azure Billing - Subscription Management for Cost Management,110,optional,2024-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-011,Azure Cost Management – Azure Cost details data deep dive,120,recommended,2025-01-01,2026-02-19
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-012,FinOps - FinOps Open Cost and Usage Specification (FOCUS) & Reporting fundamentals,130,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-013,Azure Cost Management - Understanding Azure Cost Management scopes & roles (EA),140,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-014,Azure Cost Management - Understanding Azure Cost Management scopes & roles (MCA),150,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-015,Azure Cost Management -  Alerting,160,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-016,Azure Cost Management - Managing Budgets & Alerts,170,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-036,FinOps - Forecasting,180,optional,2026-01-26,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-017,Azure Cost Management - Manage Cost Tagging,190,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-018,Azure Cost Management – Cost Allocation Rules introduction,200,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-020,Azure Cost Management - Cross Cloud Management,205,optional,2025-06-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-021,Azure Cost optimization - Overview,210,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-023,Azure Cost Optimization - Using Advisor and Operations Center to optimize cost,220,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-024,Azure Cost Optimization - Waste reduction,230,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-025,Azure Cost Optimization - Rate optimization with Reserved instances,240,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-026,Azure Cost Optimization - Rate optimization with Savings Plans,250,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-027,Azure Cost Optimization - Rate optimization with Hybrid benefits,260,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-030,Azure Cost Optimization – Rate optimization with pre-purchased Commitments,270,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-032,Azure Cost Optimization - Rate optimization with Microsoft Azure Consumption Commitment (MACC),280,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-028,FinOps - Generic FinOps for AI,290,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-029,Azure Cost Optimization - Optimizing Azure AI Services,300,optional,2026-01-28,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-033,Azure Cost Optimization - Dev/Test Labs,320,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-034,FinOps - Introduction to FinOps KPI and Benchmarking,330,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,FinOps Teams Enablement,M-050,Workshop Azure Cost Optimization - Enabling FinOps Teams - Closeout,900,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-041,Workshop Azure Cost Optimization - Enabling Product Teams - Scoping,100,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-063,Azure Cost Optimization - Workload - SAP on Azure,100,optional,2026-02-20,2026-02-20
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-035,FinOps - alignment with technical Product- and Service Teams,300,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-055,FinOps - Architecting for Cloud on Azure,400,mandatory,2026-02-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-002,Azure Cost Management - Tool Chain overview,500,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-056,Azure Cost Management - Reporting & Analysis,600,mandatory,2026-02-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-015,Azure Cost Management -  Alerting,700,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-016,Azure Cost Management - Managing Budgets & Alerts,800,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-021,Azure Cost optimization - Overview,900,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-017,Azure Cost Management - Manage Cost Tagging,1000,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-023,Azure Cost Optimization - Using Advisor and Operations Center to optimize cost,1100,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-024,Azure Cost Optimization - Waste reduction,1200,mandatory,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-025,Azure Cost Optimization - Rate optimization with Reserved instances,1300,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-026,Azure Cost Optimization - Rate optimization with Savings Plans,1400,recommended,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-030,Azure Cost Optimization – Rate optimization with pre-purchased Commitments,1450,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-027,Azure Cost Optimization - Rate optimization with Hybrid benefits,1500,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-029,Azure Cost Optimization - Optimizing Azure AI Services,1600,recommended,2026-01-28,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-060,Azure Cost Optimization - Workload - Networking,1700,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-059,Azure Cost Optimization - Workload - Storage,1800,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-058,Azure Cost Optimization - Workload - Virtual Machines,1900,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-057,Azure Cost Optimization - Workload - Log Analytics,2000,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-019,Azure Cost Optimization - Workload - AKS,2100,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-061,Azure Cost Optimization - Workload - Fabric,2200,optional,2024-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-031,Azure Cost Optimization – Workload – Azure Spot VMs,2300,optional,2025-01-01,2026-02-14
Workshop Azure Cost Optimization,Technical Product Teams Enablement,M-051,Workshop Azure Cost Optimization - Enabling Product Teams - Closeout,9000,mandatory,2025-01-01,2026-02-14
